Benchmark;Variation in run 1 (%);Variation in run 2 (%);run to run variation (%)
collection.ArrayAddBenchmark.intArrayAdd;0.57;0.35;0.07
collection.ArrayAddBenchmark.intArrayClone;1.17;0.96;0.55
collection.ArrayAddBenchmark.intArrayCopyOf;0.29;1.12;0.29
collection.ArrayAddBenchmark.intWrapperArrayAdd;0.27;0.87;0.58
collection.ArrayAddBenchmark.intWrapperArrayClone;0.95;0.27;0.34
collection.ArrayAddBenchmark.intWrapperArrayCopyOf;0.59;0.70;0.12
collection.ArrayAddBenchmark.longArrayAdd;0.44;0.72;0.63
collection.ArrayAddBenchmark.longArrayClone;0.31;0.53;0.17
collection.ArrayAddBenchmark.longArrayCopyOf;0.59;0.24;0.79
collection.ArrayAddBenchmark.longWrapperArrayAdd;0.35;0.34;0.05
collection.ArrayAddBenchmark.longWrapperArrayClone;0.47;0.28;0.14
collection.ArrayAddBenchmark.longWrapperArrayCopyOf;0.97;0.88;0.06
collection.CollectionAddBenchmark.ArrayBlockingQueue;0.29;0.30;0.16
collection.CollectionAddBenchmark.ArrayDeque;1.21;1.28;1.36
collection.CollectionAddBenchmark.ArrayList;1.44;1.31;0.01
collection.CollectionAddBenchmark.ArrayListNoResize;0.54;0.69;0.09
collection.CollectionAddBenchmark.ConcurrentHashMap;4.14;3.98;0.20
collection.CollectionAddBenchmark.ConcurrentLinkedDeque;0.55;11.21;2.72
collection.CollectionAddBenchmark.ConcurrentLinkedQueue;40.00;51.73;9.58
collection.CollectionAddBenchmark.ConcurrentSkipListMap;1.55;1.46;0.55
collection.CollectionAddBenchmark.ConcurrentSkipListSet;5.78;3.89;2.76
collection.CollectionAddBenchmark.CopyOnWriteArrayList;0.65;0.78;0.78
collection.CollectionAddBenchmark.CopyOnWriteArraySet;0.64;0.74;0.06
collection.CollectionAddBenchmark.HashMap;15.62;16.73;1.54
collection.CollectionAddBenchmark.HashSet;40.32;38.23;3.06
collection.CollectionAddBenchmark.LinkedBlockingDeque;0.95;1.75;1.65
collection.CollectionAddBenchmark.LinkedBlockingQueue;1.63;1.46;9.77
collection.CollectionAddBenchmark.LinkedHashMap;16.82;15.71;1.39
collection.CollectionAddBenchmark.LinkedHashSet;66.65;54.46;5.82
collection.CollectionAddBenchmark.LinkedList;96.14;53.02;23.88
collection.CollectionAddBenchmark.LinkedTransferQueue;50.28;60.08;14.99
collection.CollectionAddBenchmark.PriorityBlockingQueue;3.98;4.03;2.92
collection.CollectionAddBenchmark.PriorityQueue;7.29;8.54;0.29
collection.CollectionAddBenchmark.Stack;0.44;0.96;0.09
collection.CollectionAddBenchmark.TreeMap;1.15;2.61;0.76
collection.CollectionAddBenchmark.TreeSet;2.73;0.88;0.42
collection.CollectionAddBenchmark.Vector;0.52;0.42;0.26
collection.CollectionAddBenchmark.VectorNoResize;0.06;0.06;0.00
collection.CollectionIterateBenchmark.ArrayBlockingQueue;0.10;0.08;1.64
collection.CollectionIterateBenchmark.ArrayDeque;0.14;0.40;0.17
collection.CollectionIterateBenchmark.ArrayList;0.68;0.68;0.20
collection.CollectionIterateBenchmark.ArrayListNoResize;0.64;0.69;0.17
collection.CollectionIterateBenchmark.ConcurrentHashMap;0.53;0.55;0.43
collection.CollectionIterateBenchmark.ConcurrentLinkedDeque;0.37;0.21;0.03
collection.CollectionIterateBenchmark.ConcurrentLinkedQueue;1.73;2.14;0.42
collection.CollectionIterateBenchmark.ConcurrentSkipListMap;1.23;0.87;0.02
collection.CollectionIterateBenchmark.ConcurrentSkipListSet;2.93;2.94;0.31
collection.CollectionIterateBenchmark.CopyOnWriteArrayList;0.12;0.06;0.03
collection.CollectionIterateBenchmark.CopyOnWriteArraySet;0.15;0.14;0.01
collection.CollectionIterateBenchmark.HashMap;0.07;0.08;5.29
collection.CollectionIterateBenchmark.HashSet;0.14;0.09;0.01
collection.CollectionIterateBenchmark.LinkedBlockingDeque;0.05;0.06;0.03
collection.CollectionIterateBenchmark.LinkedBlockingQueue;4.26;4.25;0.01
collection.CollectionIterateBenchmark.LinkedHashMap;0.12;0.18;0.13
collection.CollectionIterateBenchmark.LinkedHashSet;1.00;0.92;0.18
collection.CollectionIterateBenchmark.LinkedList;1.37;1.03;0.09
collection.CollectionIterateBenchmark.LinkedTransferQueue;0.22;0.07;0.16
collection.CollectionIterateBenchmark.PriorityBlockingQueue;0.45;0.71;0.08
collection.CollectionIterateBenchmark.PriorityQueue;0.73;0.63;0.17
collection.CollectionIterateBenchmark.Stack;0.04;0.06;0.01
collection.CollectionIterateBenchmark.TreeMap;1.07;0.98;0.61
collection.CollectionIterateBenchmark.TreeSet;5.12;3.81;1.67
collection.CollectionIterateBenchmark.Vector;0.03;0.03;0.00
